time total
2018-08-30T23:00:00Z 87
2018-08-31T02:00:00Z 91
2018-08-31T05:00:00Z 97
2018-08-31T08:00:00Z 92
2018-08-31T11:00:00Z 87
2018-08-31T14:00:00Z 85
2018-08-31T17:00:00Z 10
2018-08-31T20:00:00Z 10
2018-08-31T23:00:00Z 0
2018-09-01T02:00:00Z 19
2018-09-01T05:00:00Z 78
2018-09-01T08:00:00Z 78
2018-09-01T11:00:00Z 82
2018-09-01T14:00:00Z 94
2018-09-01T17:00:00Z 92
2018-09-01T20:00:00Z 88
2018-09-01T23:00:00Z 29
2018-09-02T02:00:00Z 36
2018-09-02T05:00:00Z 38
2018-09-02T08:00:00Z 57
2018-09-02T11:00:00Z 39
2018-09-02T14:00:00Z 25
2018-09-02T17:00:00Z 0
2018-09-02T20:00:00Z 10
2018-09-02T23:00:00Z 0
2018-09-03T02:00:00Z 0
2018-09-03T05:00:00Z 0
2018-09-03T08:00:00Z 0
2018-09-03T11:00:00Z 0
2018-09-03T14:00:00Z 0
2018-09-03T17:00:00Z 28
2018-09-03T20:00:00Z 15
2018-09-03T23:00:00Z 0
2018-09-04T02:00:00Z 0
2018-09-04T05:00:00Z 0
2018-09-04T08:00:00Z 0
2018-09-04T11:00:00Z 0
2018-09-04T14:00:00Z 0
2018-09-04T17:00:00Z 0
2018-09-04T20:00:00Z 0
2018-09-04T23:00:00Z 0
2018-09-05T02:00:00Z 0
2018-09-05T05:00:00Z 0
2018-09-05T08:00:00Z 0
2018-09-05T11:00:00Z 15
2018-09-05T14:00:00Z 48
2018-09-05T17:00:00Z 51
2018-09-05T20:00:00Z 25
2018-09-05T23:00:00Z 26
2018-09-06T02:00:00Z 49
2018-09-06T05:00:00Z 92
2018-09-06T08:00:00Z 78
2018-09-06T11:00:00Z 61
2018-09-06T14:00:00Z 64
2018-09-06T17:00:00Z 64
2018-09-06T20:00:00Z 79
2018-09-06T23:00:00Z 99
2018-09-07T02:00:00Z 97
2018-09-07T05:00:00Z 79
2018-09-07T08:00:00Z 82
2018-09-07T11:00:00Z 92
2018-09-07T14:00:00Z 90
2018-09-07T17:00:00Z 64
2018-09-07T20:00:00Z 34
2018-09-07T23:00:00Z 0
2018-09-08T02:00:00Z 0
2018-09-08T05:00:00Z 20
2018-09-08T08:00:00Z 28
2018-09-08T11:00:00Z 11
2018-09-08T14:00:00Z 5
2018-09-08T17:00:00Z 1
2018-09-08T20:00:00Z 1
2018-09-08T23:00:00Z 0
2018-09-09T02:00:00Z 0
2018-09-09T05:00:00Z 37
2018-09-09T08:00:00Z 32
2018-09-09T11:00:00Z 87
2018-09-09T14:00:00Z 87
2018-09-09T17:00:00Z 87
2018-09-09T20:00:00Z 92
2018-09-09T23:00:00Z 99
2018-09-10T02:00:00Z 99
2018-09-10T05:00:00Z 88
2018-09-10T08:00:00Z 78
2018-09-10T11:00:00Z 0
2018-09-10T14:00:00Z 0
2018-09-10T17:00:00Z 36
2018-09-10T20:00:00Z 25
2018-09-10T23:00:00Z 0
2018-09-11T02:00:00Z 0
2018-09-11T05:00:00Z 0
2018-09-11T08:00:00Z 0
2018-09-11T11:00:00Z 0
2018-09-11T14:00:00Z 16
2018-09-11T17:00:00Z 1
2018-09-11T20:00:00Z 1
2018-09-11T23:00:00Z 0
2018-09-12T02:00:00Z 0
2018-09-12T05:00:00Z 0
2018-09-12T08:00:00Z 0
2018-09-12T11:00:00Z 30
2018-09-12T14:00:00Z 61
2018-09-12T17:00:00Z 77
2018-09-12T20:00:00Z 77
2018-09-12T23:00:00Z 81
2018-09-13T02:00:00Z 83
2018-09-13T05:00:00Z 2
2018-09-13T08:00:00Z 1
2018-09-13T11:00:00Z 0
2018-09-13T14:00:00Z 0
2018-09-13T17:00:00Z 0
2018-09-13T20:00:00Z 0
2018-09-13T23:00:00Z 0
2018-09-14T02:00:00Z 4
2018-09-14T05:00:00Z 64
2018-09-14T08:00:00Z 73
2018-09-14T11:00:00Z 93
2018-09-14T14:00:00Z 95
2018-09-14T17:00:00Z 95
2018-09-14T20:00:00Z 66
2018-09-14T23:00:00Z 0
2018-09-15T02:00:00Z 17
2018-09-15T05:00:00Z 81
2018-09-15T08:00:00Z 84
2018-09-15T11:00:00Z 86
2018-09-15T14:00:00Z 73
2018-09-15T17:00:00Z 0
2018-09-15T20:00:00Z 0
2018-09-15T23:00:00Z 38
2018-09-16T02:00:00Z 39
2018-09-16T05:00:00Z 100
2018-09-16T08:00:00Z 100
2018-09-16T11:00:00Z 91
2018-09-16T14:00:00Z 93
2018-09-16T17:00:00Z 98
2018-09-16T20:00:00Z 99
2018-09-16T23:00:00Z 88
2018-09-17T02:00:00Z 44
2018-09-17T05:00:00Z 0
2018-09-17T08:00:00Z 21
2018-09-17T11:00:00Z 80
2018-09-17T14:00:00Z 82
2018-09-17T17:00:00Z 80
2018-09-17T20:00:00Z 87
2018-09-17T23:00:00Z 10
2018-09-18T02:00:00Z 17
2018-09-18T05:00:00Z 13
2018-09-18T08:00:00Z 7
2018-09-18T11:00:00Z 27
2018-09-18T14:00:00Z 13
2018-09-18T17:00:00Z 19
2018-09-18T20:00:00Z 43
2018-09-18T23:00:00Z 86
2018-09-19T02:00:00Z 74
2018-09-19T05:00:00Z 62
2018-09-19T08:00:00Z 73
2018-09-19T11:00:00Z 6
2018-09-19T14:00:00Z 3
2018-09-19T17:00:00Z 0
2018-09-19T20:00:00Z 0
2018-09-19T23:00:00Z 0
2018-09-20T02:00:00Z 0
2018-09-20T05:00:00Z 0
2018-09-20T08:00:00Z 0
2018-09-20T11:00:00Z 0
2018-09-20T14:00:00Z 0
2018-09-20T17:00:00Z 0
2018-09-20T20:00:00Z 0
2018-09-20T23:00:00Z 0
2018-09-21T02:00:00Z 0
2018-09-21T05:00:00Z 0
2018-09-21T08:00:00Z 8
2018-09-21T11:00:00Z 37
2018-09-21T14:00:00Z 34
2018-09-21T17:00:00Z 92
