DateHeure,Valeur_HUMIDITY,Valeur_GLOBAL_RADIANCE,Valeur_TEMPERATURE,Prod. Photovoltaique (kWh),Rayonnement (W/m2)
2020-01-01 00:00:00,90.7,0.0,1.937,0.0,6.2360334
2020-01-01 01:00:00,90.5,0.0,1.695,0.0,6.1849504
2020-01-01 02:00:00,91.7,0.0,1.117,0.0,6.211167
2020-01-01 03:00:00,93.2,0.0,0.599,0.0,6.10545
2020-01-01 04:00:00,94.3,0.0,0.231,0.0,6.1588
2020-01-01 05:00:00,96.5,0.0,-0.419,0.0,6.17105
2020-01-01 06:00:00,98.4,0.0,-0.703,0.0,6.1386833
2020-01-01 07:00:00,98.9,0.006,-0.668,0.0,6.1875167
2020-01-01 08:00:00,98.7,8.4,-0.286,0.0,11.737117
2020-01-01 09:00:00,98.4,44.82,-0.092,0.1640625,42.701
2020-01-01 10:00:00,93.3,213.8,1.246,1.8359375,228.84851
2020-01-01 11:00:00,86.9,326.2,2.513,4.5,348.765
2020-01-01 12:00:00,80.4,347.9,4.26,5.3359375,364.39835
2020-01-01 13:00:00,85.0,233.0,3.255,5.1640625,237.64334
2020-01-01 14:00:00,83.8,219.7,3.765,2.5,231.65334
2020-01-01 15:00:00,84.8,108.3,3.475,1.1640625,122.64917
2020-01-01 16:00:00,93.2,13.34,1.676,0.3359375,18.0088
2020-01-01 17:00:00,96.0,0.021,1.089,0.0,6.3644667
2020-01-01 18:00:00,96.3,0.0,1.149,0.0,6.208017
2020-01-01 19:00:00,96.1,0.0,1.121,0.0,6.263617
2020-01-01 20:00:00,96.2,0.0,0.997,0.0,6.2027
2020-01-01 21:00:00,96.1,0.0,0.98,0.0,6.1199837
2020-01-01 22:00:00,96.9,0.0,0.595,0.0,6.1944833
2020-01-01 23:00:00,98.3,0.0,0.047,0.0,6.1791835
2020-01-02 00:00:00,99.0,0.0,-0.144,0.0,6.200917
2020-01-02 01:00:00,99.1,0.0,-0.385,0.0,6.214667
2020-01-02 02:00:00,99.4,0.0,-0.286,0.0,6.1933336
2020-01-02 03:00:00,99.7,0.0,-0.262,0.0,5.9952545
2020-01-02 04:00:00,99.8,0.0,-0.312,0.0,6.1543503
2020-01-02 05:00:00,99.8,0.0,-0.311,0.0,6.1668835
2020-01-02 06:00:00,99.6,0.0,-0.445,0.0,6.20585
2020-01-02 07:00:00,99.6,0.0,-0.471,0.0,6.1692834
2020-01-02 08:00:00,99.6,3.814,-0.773,0.0,7.8171
2020-01-02 09:00:00,99.6,25.02,-0.756,0.0,27.629665
2020-01-02 10:00:00,99.1,48.28,-0.339,0.6640625,47.823166
2020-01-02 11:00:00,97.9,69.4,0.032,0.3359375,66.584
2020-01-02 12:00:00,95.5,83.5,0.384,0.8359375,78.83
2020-01-02 13:00:00,94.5,92.5,0.742,0.328125,86.232
2020-01-02 14:00:00,93.8,72.12,0.982,0.8359375,69.55233
2020-01-02 15:00:00,94.2,36.67,0.77,0.0,36.443897
2020-01-02 16:00:00,95.5,10.47,0.431,0.0,13.37695
