,Onduleur A: energie totale (MWh),Onduleur B: energie totale (MWh),Onduleur C: energie totale (MWh),Onduleur D-A: energie totale (MWh),Onduleur D-B: energie totale (MWh),Onduleur: energie totale (MWh)
2022-08-25 14:30:00+00:00,0.23145,0.280032,0.357824,0.233804,0.235982,70.296
2022-08-25 14:40:00+00:00,0.23145,0.282428,0.36251,0.236145,0.238356,87.171
2022-08-25 14:50:00+00:00,0.23145,0.284693,0.367078,0.238473,0.24065,68.058
2022-08-25 15:00:00+00:00,0.23145,0.287023,0.371675,0.240801,0.242978,70.519
2022-08-25 15:10:00+00:00,0.23145,0.289431,0.376364,0.243162,0.245362,71.999
2022-08-25 15:20:00+00:00,0.23145,0.291967,0.381008,0.24578,0.247901,70.203
2022-08-25 15:30:00+00:00,0.23145,0.294325,0.385682,0.248142,0.250264,85.247
2022-08-25 15:40:00+00:00,0.23145,0.296685,0.390299,0.250501,0.252619,70.046
2022-08-25 15:50:00+00:00,0.23145,0.299108,0.394792,0.252929,0.25504,69.999
2022-08-25 16:00:00+00:00,0.23145,0.301498,0.399207,0.255323,0.257427,69.89
2022-08-25 16:10:00+00:00,0.23145,0.303917,0.403471,0.257741,0.259857,69.938
2022-08-25 16:20:00+00:00,0.23145,0.306392,0.407578,0.260241,0.262344,67.403
2022-08-25 16:30:00+00:00,0.23145,0.308949,0.411569,0.262763,0.264841,68.371
2022-08-25 16:40:00+00:00,0.23145,0.311522,0.415418,0.265655,0.267352,70.525
2022-08-25 16:50:00+00:00,0.23145,0.314086,0.419144,0.268458,0.269744,64.909
2022-08-25 17:00:00+00:00,0.23145,0.316299,0.422471,0.270938,0.271868,58.607
2022-08-25 17:10:00+00:00,0.23145,0.318391,0.425545,0.273312,0.273796,55.297
2022-08-25 17:20:00+00:00,0.23145,0.320415,0.428578,0.275633,0.275685,52.175
2022-08-25 17:30:00+00:00,0.23145,0.322258,0.43132,0.277786,0.277407,50.439
2022-08-25 17:40:00+00:00,0.23145,0.324053,0.433992,0.279761,0.278956,26.348
2022-08-25 17:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 18:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 18:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 18:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 18:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 18:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 18:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 19:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 19:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 19:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 19:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 19:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 19:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 20:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 20:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 20:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 20:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 20:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 20:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 21:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 21:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 21:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 21:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 21:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 21:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 22:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 22:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 22:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 22:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 22:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 22:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 23:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 23:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 23:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 23:30:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 23:40:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-25 23:50:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 00:00:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 00:10:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
2022-08-26 00:20:00+00:00,0.23145,0.324791,0.434339,0.279761,0.278956,0.0
